X,Y,Z
69,65,56
69,65,56
69,58,58
69,58,58
74,58,56
74,58,56
75,58,55
75,58,55
74,58,53
74,58,53
72,58,51
72,58,51
70,58,50
70,58,50
68,58,48
68,58,48
68,65,48
68,65,48
68,62,46
68,62,46
67,62,46
67,62,46
68,62,48
68,62,48
68,62,43
68,62,43
70,63,44
70,63,44
70,63,44
70,63,44
65,62,46
65,62,46
65,62,46
65,62,46
67,63,46
67,63,46
67,63,46
67,63,46
67,72,39
67,72,39
79,72,39
79,72,39
77,72,63
77,72,63
75,72,63
75,72,63
74,70,63
74,70,63
74,69,63
74,69,63
72,67,63
72,67,63
72,67,63
72,67,63
77,65,63
77,65,63
70,65,62
70,65,62
72,67,60
72,67,60
72,67,60
72,67,60
74,70,58
74,70,58
74,63,60
74,63,60
67,65,62
67,65,62
67,65,60
67,65,60
67,67,58
67,67,58
75,67,57
75,67,57
74,60,58
74,60,58
72,60,57
72,60,57
70,60,55
70,60,55
70,65,55
70,65,55
69,63,53
69,63,53
69,62,53
69,62,53
74,60,46
74,60,46
67,60,51
67,60,51
69,58,50
69,58,50
69,58,48
69,58,48
70,62,46
70,62,46
70,57,48
70,57,48
63,58,46
63,58,46
63,58,45
63,58,45
63,60,43
63,60,43
72,60,45
72,60,45
70,60,43
70,60,43
69,60,41
69,60,41
67,60,39
67,60,39
67,60,38
67,60,38
67,53,51
67,53,51
67,53,50
67,53,50
65,53,48
65,53,48
65,70,46
65,70,46
65,70,55
65,70,55
65,69,53
65,69,53
65,67,51
65,67,51
65,67,50
65,67,50
77,65,63
77,65,63
77,65,62
77,65,62
77,69,60
77,69,60
77,62,60
77,62,60
